time;kind;kindName;task;source;sourceName;Value
1556951133000;2;"taskDelivered";6;"82493adc-f669-4d0e-a100-ca34b6ed";"Making loan application"
1556951133000;7;"taskOperation";6;"82493adc-f669-4d0e-a100-ca34b6ed";"Making loan application"
1556951850000;6;"taskCostSpent";6;"a70f20cc-77ac-4c3c-b600-0c6d7c14";"Account Manager";119.5
1556951133000;3;"taskAssigned";6;"a70f20cc-77ac-4c3c-b600-0c6d7c14";"Account Manager"
1556951850000;6;"taskCostSpent";6;"82493adc-f669-4d0e-a100-ca34b6ed";"Making loan application"
1556951153000;7;"taskOperation";7;"82493adc-f669-4d0e-a100-ca34b6ed";"Making loan application"
1556951835000;6;"taskCostSpent";7;"a70f20cc-77ac-4c3c-b600-0c6d7c14";"Account Manager";113.66666666666667
1556951153000;3;"taskAssigned";7;"a70f20cc-77ac-4c3c-b600-0c6d7c14";"Account Manager"
1556951835000;6;"taskCostSpent";7;"82493adc-f669-4d0e-a100-ca34b6ed";"Making loan application"
1556951108000;2;"taskDelivered";4;"b359edcf-a995-4853-a872-3a20bb77";"Loan scoring"
1556951120000;1;"taskComplete";1;"b359edcf-a995-4853-a872-3a20bb77";"Loan scoring"
1556951108000;7;"taskOperation";4;"b359edcf-a995-4853-a872-3a20bb77";"Loan scoring"
1556951708000;8;"taskSupported";4;"060e31d5-c538-4279-b204-e9aab247";"Decision Support System"
1556951708000;8;"taskSupported";4;"43f91ac9-ca7e-44bb-b0b1-855c94dd";"Request of credit history";1
1556951708000;6;"taskCostSpent";4;"b359edcf-a995-4853-a872-3a20bb77";"Loan scoring";1
1556951196000;0;"taskNew";8;"c69f2ec0-5d07-4c09-b856-b27dd3ae";"Visit the customer to make an application"
1556951196000;2;"taskDelivered";8;"82493adc-f669-4d0e-a100-ca34b6ed";"Making loan application"
1556951196000;7;"taskOperation";8;"82493adc-f669-4d0e-a100-ca34b6ed";"Making loan application"
1556952016000;6;"taskCostSpent";8;"a70f20cc-77ac-4c3c-b600-0c6d7c14";"Account Manager";136.66666666666666
1556951196000;3;"taskAssigned";8;"a70f20cc-77ac-4c3c-b600-0c6d7c14";"Account Manager"
1556952016000;6;"taskCostSpent";8;"82493adc-f669-4d0e-a100-ca34b6ed";"Making loan application"
1556951180000;2;"taskDelivered";1;"d2131c8a-5d27-4914-8057-ad4c65c3";"Data verification"
1556951180000;7;"taskOperation";1;"d2131c8a-5d27-4914-8057-ad4c65c3";"Data verification"
1556951783000;6;"taskCostSpent";1;"3a24ea26-aa12-47a3-bab1-c5e5caa9";"Loan Officer";100.5
1556951180000;3;"taskAssigned";1;"3a24ea26-aa12-47a3-bab1-c5e5caa9";"Loan Officer"
1556951783000;6;"taskCostSpent";1;"d2131c8a-5d27-4914-8057-ad4c65c3";"Data verification"
1556951263000;1;"taskComplete";5;"82493adc-f669-4d0e-a100-ca34b6ed";"Making loan application"
1556951230000;1;"taskComplete";2;"b359edcf-a995-4853-a872-3a20bb77";"Loan scoring"
1556951311000;0;"taskNew";9;"c69f2ec0-5d07-4c09-b856-b27dd3ae";"Visit the customer to make an application"
1556951311000;2;"taskDelivered";9;"82493adc-f669-4d0e-a100-ca34b6ed";"Making loan application"
1556951311000;7;"taskOperation";9;"82493adc-f669-4d0e-a100-ca34b6ed";"Making loan application"
1556952176000;6;"taskCostSpent";9;"a70f20cc-77ac-4c3c-b600-0c6d7c14";"Account Manager";144.16666666666666
1556951311000;3;"taskAssigned";9;"a70f20cc-77ac-4c3c-b600-0c6d7c14";"Account Manager"
1556952176000;6;"taskCostSpent";9;"82493adc-f669-4d0e-a100-ca34b6ed";"Making loan application"
1556951323000;2;"taskDelivered";5;"b359edcf-a995-4853-a872-3a20bb77";"Loan scoring"
1556951323000;7;"taskOperation";5;"b359edcf-a995-4853-a872-3a20bb77";"Loan scoring"
1556951923000;8;"taskSupported";5;"060e31d5-c538-4279-b204-e9aab247";"Decision Support System"
1556951923000;8;"taskSupported";5;"43f91ac9-ca7e-44bb-b0b1-855c94dd";"Request of credit history";1
1556951923000;6;"taskCostSpent";5;"b359edcf-a995-4853-a872-3a20bb77";"Loan scoring";1
1556951290000;2;"taskDelivered";2;"d2131c8a-5d27-4914-8057-ad4c65c3";"Data verification"
1556951290000;7;"taskOperation";2;"d2131c8a-5d27-4914-8057-ad4c65c3";"Data verification"
1556952067000;6;"taskCostSpent";2;"3a24ea26-aa12-47a3-bab1-c5e5caa9";"Loan Officer";129.5
1556951290000;3;"taskAssigned";2;"3a24ea26-aa12-47a3-bab1-c5e5caa9";"Loan Officer"
1556952067000;6;"taskCostSpent";2;"d2131c8a-5d27-4914-8057-ad4c65c3";"Data verification"
1556951382000;0;"taskNew";10;"c69f2ec0-5d07-4c09-b856-b27dd3ae";"Visit the customer to make an application"
1556951383000;0;"taskNew";11;"c69f2ec0-5d07-4c09-b856-b27dd3ae";"Visit the customer to make an application"
1556951383000;2;"taskDelivered";11;"82493adc-f669-4d0e-a100-ca34b6ed";"Making loan application"
1556951382000;2;"taskDelivered";10;"82493adc-f669-4d0e-a100-ca34b6ed";"Making loan application"
1556951382000;7;"taskOperation";10;"82493adc-f669-4d0e-a100-ca34b6ed";"Making loan application"
1556952195000;6;"taskCostSpent";10;"a70f20cc-77ac-4c3c-b600-0c6d7c14";"Account Manager";135.5
1556951382000;3;"taskAssigned";10;"a70f20cc-77ac-4c3c-b600-0c6d7c14";"Account Manager"
1556952195000;6;"taskCostSpent";10;"82493adc-f669-4d0e-a100-ca34b6ed";"Making loan application"
1556951383000;7;"taskOperation";11;"82493adc-f669-4d0e-a100-ca34b6ed";"Making loan application"
1556952217000;6;"taskCostSpent";11;"a70f20cc-77ac-4c3c-b600-0c6d7c14";"Account Manager";139
1556951383000;3;"taskAssigned";11;"a70f20cc-77ac-4c3c-b600-0c6d7c14";"Account Manager"
1556952217000;6;"taskCostSpent";11;"82493adc-f669-4d0e-a100-ca34b6ed";"Making loan application"
1556951442000;0;"taskNew";12;"c69f2ec0-5d07-4c09-b856-b27dd3ae";"Visit the customer to make an application"
1556951442000;2;"taskDelivered";12;"82493adc-f669-4d0e-a100-ca34b6ed";"Making loan application"
1556951442000;7;"taskOperation";12;"82493adc-f669-4d0e-a100-ca34b6ed";"Making loan application"
1556952075000;6;"taskCostSpent";12;"a70f20cc-77ac-4c3c-b600-0c6d7c14";"Account Manager";105.5
1556951442000;3;"taskAssigned";12;"a70f20cc-77ac-4c3c-b600-0c6d7c14";"Account Manager"
1556952075000;6;"taskCostSpent";12;"82493adc-f669-4d0e-a100-ca34b6ed";"Making loan application"
1556951464000;0;"taskNew";13;"c69f2ec0-5d07-4c09-b856-b27dd3ae";"Visit the customer to make an application"
1556951476000;0;"taskNew";14;"c69f2ec0-5d07-4c09-b856-b27dd3ae";"Visit the customer to make an application"
1556951476000;2;"taskDelivered";14;"82493adc-f669-4d0e-a100-ca34b6ed";"Making loan application"
1556951464000;2;"taskDelivered";13;"82493adc-f669-4d0e-a100-ca34b6ed";"Making loan application"
1556951464000;7;"taskOperation";13;"82493adc-f669-4d0e-a100-ca34b6ed";"Making loan application"
1556952144000;6;"taskCostSpent";13;"a70f20cc-77ac-4c3c-b600-0c6d7c14";"Account Manager";113.33333333333333
1556951464000;3;"taskAssigned";13;"a70f20cc-77ac-4c3c-b600-0c6d7c14";"Account Manager"
1556952144000;6;"taskCostSpent";13;"82493adc-f669-4d0e-a100-ca34b6ed";"Making loan application"
1556951476000;7;"taskOperation";14;"82493adc-f669-4d0e-a100-ca34b6ed";"Making loan application"
1556952314000;6;"taskCostSpent";14;"a70f20cc-77ac-4c3c-b600-0c6d7c14";"Account Manager";139.66666666666666
1556951476000;3;"taskAssigned";14;"a70f20cc-77ac-4c3c-b600-0c6d7c14";"Account Manager"
1556952314000;6;"taskCostSpent";14;"82493adc-f669-4d0e-a100-ca34b6ed";"Making loan application"
1556951536000;0;"taskNew";15;"c69f2ec0-5d07-4c09-b856-b27dd3ae";"Visit the customer to make an application"
1556951561000;0;"taskNew";16;"c69f2ec0-5d07-4c09-b856-b27dd3ae";"Visit the customer to make an application"
1556951561000;2;"taskDelivered";16;"82493adc-f669-4d0e-a100-ca34b6ed";"Making loan application"
1556951536000;2;"taskDelivered";15;"82493adc-f669-4d0e-a100-ca34b6ed";"Making loan application"
1556951536000;7;"taskOperation";15;"82493adc-f669-4d0e-a100-ca34b6ed";"Making loan application"
1556952262000;6;"taskCostSpent";15;"a70f20cc-77ac-4c3c-b600-0c6d7c14";"Account Manager";121
1556951536000;3;"taskAssigned";15;"a70f20cc-77ac-4c3c-b600-0c6d7c14";"Account Manager"
1556952262000;6;"taskCostSpent";15;"82493adc-f669-4d0e-a100-ca34b6ed";"Making loan application"
1556951561000;7;"taskOperation";16;"82493adc-f669-4d0e-a100-ca34b6ed";"Making loan application"
1556952178000;6;"taskCostSpent";16;"a70f20cc-77ac-4c3c-b600-0c6d7c14";"Account Manager";102.83333333333333
1556951561000;3;"taskAssigned";16;"a70f20cc-77ac-4c3c-b600-0c6d7c14";"Account Manager"
1556952178000;6;"taskCostSpent";16;"82493adc-f669-4d0e-a100-ca34b6ed";"Making loan application"
1556951603000;0;"taskNew";17;"c69f2ec0-5d07-4c09-b856-b27dd3ae";"Visit the customer to make an application"
1556951623000;0;"taskNew";18;"c69f2ec0-5d07-4c09-b856-b27dd3ae";"Visit the customer to make an application"
1556951623000;2;"taskDelivered";18;"82493adc-f669-4d0e-a100-ca34b6ed";"Making loan application"
1556951603000;2;"taskDelivered";17;"82493adc-f669-4d0e-a100-ca34b6ed";"Making loan application"
1556951603000;7;"taskOperation";17;"82493adc-f669-4d0e-a100-ca34b6ed";"Making loan application"
1556952396000;6;"taskCostSpent";17;"a70f20cc-77ac-4c3c-b600-0c6d7c14";"Account Manager";132.16666666666666
1556951603000;3;"taskAssigned";17;"a70f20cc-77ac-4c3c-b600-0c6d7c14";"Account Manager"
1556952396000;6;"taskCostSpent";17;"82493adc-f669-4d0e-a100-ca34b6ed";"Making loan application"
